id	title	source_page	pdf_url	status	reading_status
mlsys2024-054de805fcceb78a201f5e9d53c85908	Punica: Multi-Tenant LoRA Serving	https://proceedings.mlsys.org/paper_files/paper/2024/hash/054de805fcceb78a201f5e9d53c85908-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2024/file/054de805fcceb78a201f5e9d53c85908-Paper-Conference.pdf	downloaded	selected_sections_read
mlsys2024-096b1019463f34eb241e87cfce8dfe16	ACROBAT: Optimizing Auto-batching of Dynamic Deep Learning at Compile Time	https://proceedings.mlsys.org/paper_files/paper/2024/hash/096b1019463f34eb241e87cfce8dfe16-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2024/file/096b1019463f34eb241e87cfce8dfe16-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2024-0badcb4e95306df76a719409155e46e8	HeteroSwitch: Characterizing and Taming System-Induced Data Heterogeneity in Federated Learning	https://proceedings.mlsys.org/paper_files/paper/2024/hash/0badcb4e95306df76a719409155e46e8-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2024/file/0badcb4e95306df76a719409155e46e8-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2024-136b9a13861308c8948cd308ccd02658	JIT-Q: Just-in-time Quantization with Processing-In-Memory for Efficient ML Training	https://proceedings.mlsys.org/paper_files/paper/2024/hash/136b9a13861308c8948cd308ccd02658-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2024/file/136b9a13861308c8948cd308ccd02658-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2024-185087ea328b4f03ea8fd0c8aa96f747	Schrodinger's FP Training Neural Networks with Dynamic Floating-Point Containers	https://proceedings.mlsys.org/paper_files/paper/2024/hash/185087ea328b4f03ea8fd0c8aa96f747-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2024/file/185087ea328b4f03ea8fd0c8aa96f747-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2024-339caf45a6fa281cae8adc6465343464	Lancet: Accelerating Mixture-of-Experts Training via Whole Graph Computation-Communication Overlapping	https://proceedings.mlsys.org/paper_files/paper/2024/hash/339caf45a6fa281cae8adc6465343464-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2024/file/339caf45a6fa281cae8adc6465343464-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2024-42a452cbafa9dd64e9ba4aa95cc1ef21	AWQ: Activation-aware Weight Quantization for On-Device LLM Compression and Acceleration	https://proceedings.mlsys.org/paper_files/paper/2024/hash/42a452cbafa9dd64e9ba4aa95cc1ef21-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2024/file/42a452cbafa9dd64e9ba4aa95cc1ef21-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2024-45c1f6a8cbf2da59ebf2c802b4f742cd	DiffusionPipe: Training Large Diffusion Models with Efficient Pipelines	https://proceedings.mlsys.org/paper_files/paper/2024/hash/45c1f6a8cbf2da59ebf2c802b4f742cd-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2024/file/45c1f6a8cbf2da59ebf2c802b4f742cd-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2024-48fecef47b19fe501d27d338b6d52582	Keyformer: KV Cache reduction through key tokens selection for Efficient Generative Inference	https://proceedings.mlsys.org/paper_files/paper/2024/hash/48fecef47b19fe501d27d338b6d52582-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2024/file/48fecef47b19fe501d27d338b6d52582-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2024-4e3157021c5f833bb2204081f1dda573	Accelerating ReLU for MPC-Based Private Inference with a Communication-Efficient Sign Estimation	https://proceedings.mlsys.org/paper_files/paper/2024/hash/4e3157021c5f833bb2204081f1dda573-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2024/file/4e3157021c5f833bb2204081f1dda573-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2024-5321b1dabcd2be188d796c21b733e8c7	FlashDecoding++: Faster Large Language Model Inference with Asynchronization, Flat GEMM Optimization, and Heuristics	https://proceedings.mlsys.org/paper_files/paper/2024/hash/5321b1dabcd2be188d796c21b733e8c7-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2024/file/5321b1dabcd2be188d796c21b733e8c7-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2024-5431dca75a8d2abc1fb51e89e8324f10	HeteGen: Efficient Heterogeneous Parallel Inference for Large Language Models on Resource-Constrained Devices	https://proceedings.mlsys.org/paper_files/paper/2024/hash/5431dca75a8d2abc1fb51e89e8324f10-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2024/file/5431dca75a8d2abc1fb51e89e8324f10-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2024-554e056fe2b6d9fd27ffcd3367ae1267	CloudEval-YAML: A Practical Benchmark for Cloud Configuration Generation	https://proceedings.mlsys.org/paper_files/paper/2024/hash/554e056fe2b6d9fd27ffcd3367ae1267-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2024/file/554e056fe2b6d9fd27ffcd3367ae1267-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2024-5edb57c05c81d04beb716ef1d542fe9e	Atom: Low-Bit Quantization for Efficient and Accurate LLM Serving	https://proceedings.mlsys.org/paper_files/paper/2024/hash/5edb57c05c81d04beb716ef1d542fe9e-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2024/file/5edb57c05c81d04beb716ef1d542fe9e-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2024-621d0fd41c720ab252e178b77c200d90	ACCURATE LOW-DEGREE POLYNOMIAL APPROXIMATION OF NON-POLYNOMIAL OPERATORS FOR FAST PRIVATE INFERENCE IN HOMOMORPHIC ENCRYPTION	https://proceedings.mlsys.org/paper_files/paper/2024/hash/621d0fd41c720ab252e178b77c200d90-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2024/file/621d0fd41c720ab252e178b77c200d90-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2024-698cfaf72a208aef2e78bcac55b74328	SiDA: Sparsity-Inspired Data-Aware Serving for Efficient and Scalable  Large Mixture-of-Experts Models	https://proceedings.mlsys.org/paper_files/paper/2024/hash/698cfaf72a208aef2e78bcac55b74328-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2024/file/698cfaf72a208aef2e78bcac55b74328-Paper-Conference.pdf	downloaded	abstract_screened
