layer,name,category,shapes,matrix_flops,scalar_flops,special_ops,weight_read_bytes,activation_read_bytes,activation_write_bytes,notes,repeats
aggregate; see repeats,embedding,gather,"{""ids"": [1, 1], ""output"": [1, 2048]}",0,0,{},4096,8,4096,,1
aggregate; see repeats,input_and_post_attention_norm,normalization,"{""rows"": 1, ""width"": 2048}",0,10241,"{""rsqrt"": 1}",4096,4096,4096,"FP32 internal arithmetic; interfaces are BF16 input/output, not internal conversion traffic.",80
aggregate; see repeats,two_residuals_per_layer,elementwise,{},0,2048,{},0,8192,4096,,80
aggregate; see repeats,full.q_and_gate,linear,"{""input"": [1, 2048], ""weight_math"": [2048, 8192], ""weight_storage"": [8192, 2048], ""output"": [1, 8192]}",33554432,0,{},33554432,4096,16384,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,10
aggregate; see repeats,full.key,linear,"{""input"": [1, 2048], ""weight_math"": [2048, 512], ""weight_storage"": [512, 2048], ""output"": [1, 512]}",2097152,0,{},2097152,4096,1024,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,10
aggregate; see repeats,full.value,linear,"{""input"": [1, 2048], ""weight_math"": [2048, 512], ""weight_storage"": [512, 2048], ""output"": [1, 512]}",2097152,0,{},2097152,4096,1024,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,10
aggregate; see repeats,full.output,linear,"{""input"": [1, 4096], ""weight_math"": [4096, 2048], ""weight_storage"": [2048, 4096], ""output"": [1, 2048]}",16777216,0,{},16777216,8192,4096,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,10
aggregate; see repeats,full.q_norm,normalization,"{""rows"": 16, ""width"": 256}",0,16656,"{""rsqrt"": 16}",512,8192,8192,"FP32 internal arithmetic; interfaces are BF16 input/output, not internal conversion traffic.",10
aggregate; see repeats,full.k_norm,normalization,"{""rows"": 2, ""width"": 256}",0,2306,"{""rsqrt"": 2}",512,1024,1024,"FP32 internal arithmetic; interfaces are BF16 input/output, not internal conversion traffic.",10
aggregate; see repeats,full.apply_partial_rope,rotary,{},0,3456,{},0,2304,2304,Rotation multiplication/addition only; shared position-id and sin/cos construction are listed in the reference supplement.,10
aggregate; see repeats,full.QK,attention_matrix,"{""valid_pairs"": 8193, ""rectangular_pairs"": 8193, ""heads"": 16, ""head_dim"": 256}",67117056,0,{},0,0,0,"Valid causal arithmetic; eager full rectangle work is separately reported, not inferred GPU execution.",10
