layer,name,category,shapes,matrix_flops,scalar_flops,special_ops,weight_read_bytes,activation_read_bytes,activation_write_bytes,notes,repeats
aggregate; see repeats,embedding,gather,"{""ids"": [64, 1], ""output"": [64, 2048]}",0,0,{},262144,512,262144,,1
aggregate; see repeats,input_and_post_attention_norm,normalization,"{""rows"": 64, ""width"": 2048}",0,526400,"{""rsqrt"": 64}",4096,262144,262144,"FP32 internal arithmetic; interfaces are BF16 input/output, not internal conversion traffic.",80
aggregate; see repeats,two_residuals_per_layer,elementwise,{},0,131072,{},0,524288,262144,,80
aggregate; see repeats,full.q_and_gate,linear,"{""input"": [64, 2048], ""weight_math"": [2048, 8192], ""weight_storage"": [8192, 2048], ""output"": [64, 8192]}",2147483648,0,{},33554432,262144,1048576,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,10
aggregate; see repeats,full.key,linear,"{""input"": [64, 2048], ""weight_math"": [2048, 512], ""weight_storage"": [512, 2048], ""output"": [64, 512]}",134217728,0,{},2097152,262144,65536,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,10
aggregate; see repeats,full.value,linear,"{""input"": [64, 2048], ""weight_math"": [2048, 512], ""weight_storage"": [512, 2048], ""output"": [64, 512]}",134217728,0,{},2097152,262144,65536,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,10
aggregate; see repeats,full.output,linear,"{""input"": [64, 4096], ""weight_math"": [4096, 2048], ""weight_storage"": [2048, 4096], ""output"": [64, 2048]}",1073741824,0,{},16777216,524288,262144,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,10
aggregate; see repeats,full.q_norm,normalization,"{""rows"": 1024, ""width"": 256}",0,1049856,"{""rsqrt"": 1024}",512,524288,524288,"FP32 internal arithmetic; interfaces are BF16 input/output, not internal conversion traffic.",10
aggregate; see repeats,full.k_norm,normalization,"{""rows"": 128, ""width"": 256}",0,131456,"{""rsqrt"": 128}",512,65536,65536,"FP32 internal arithmetic; interfaces are BF16 input/output, not internal conversion traffic.",10
aggregate; see repeats,full.apply_partial_rope,rotary,{},0,221184,{},0,147456,147456,Rotation multiplication/addition only; shared position-id and sin/cos construction are listed in the reference supplement.,10
aggregate; see repeats,full.QK,attention_matrix,"{""valid_pairs"": 524352, ""rectangular_pairs"": 524352, ""heads"": 16, ""head_dim"": 256}",4295491584,0,{},0,0,0,"Valid causal arithmetic; eager full rectangle work is separately reported, not inferred GPU execution.",10
aggregate; see repeats,full.PV,attention_matrix,"{""valid_pairs"": 524352, ""rectangular_pairs"": 524352, ""heads"": 16, ""head_dim"": 256}",4295491584,0,{},0,0,0,"Valid causal arithmetic; eager full rectangle work is separately reported, not inferred GPU execution.",10
aggregate; see repeats,full.softmax,softmax,{},0,33557504,"{""exp"": 8389632, ""max_comparisons"": 8388608}",0,0,0,"Scale/subtract/reduce/divide over valid pairs; softmax FP32, full score materialization not assumed.",10
aggregate; see repeats,full.output_gate,elementwise,{},0,262144,"{""sigmoid"": 262144}",0,1048576,524288,,10
aggregate; see repeats,linear.qkv,linear,"{""input"": [64, 2048], ""weight_math"": [2048, 8192], ""weight_storage"": [8192, 2048], ""output"": [64, 8192]}",2147483648,0,{},33554432,262144,1048576,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,30
aggregate; see repeats,linear.z,linear,"{""input"": [64, 2048], ""weight_math"": [2048, 4096], ""weight_storage"": [4096, 2048], ""output"": [64, 4096]}",1073741824,0,{},16777216,262144,524288,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,30
aggregate; see repeats,linear.a,linear,"{""input"": [64, 2048], ""weight_math"": [2048, 32], ""weight_storage"": [32, 2048], ""output"": [64, 32]}",8388608,0,{},131072,262144,4096,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,30
aggregate; see repeats,linear.b,linear,"{""input"": [64, 2048], ""weight_math"": [2048, 32], ""weight_storage"": [32, 2048], ""output"": [64, 32]}",8388608,0,{},131072,262144,4096,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,30
aggregate; see repeats,linear.output,linear,"{""input"": [64, 4096], ""weight_math"": [4096, 2048], ""weight_storage"": [2048, 4096], ""output"": [64, 2048]}",1073741824,0,{},16777216,524288,262144,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,30
aggregate; see repeats,linear.causal_conv_valid,depthwise_conv,"{""channels"": 8192, ""kernel"": 4, ""valid_taps_per_channel_request"": 4}",4194304,0,{},65536,0,0,Only mathematically valid nonpadding tap products. Padded fallback conv1d and cached history recomputation are not this valid subtotal.,30
aggregate; see repeats,linear.conv_silu,activation,{},0,524288,"{""sigmoid"": 524288}",0,1048576,1048576,,30
aggregate; see repeats,linear.decay_and_beta,gate,{},0,4096,"{""exp"": 32, ""softplus"": 2048, ""sigmoid"": 2048}",128,0,0,A_log.float() and a.float() establish FP32 decay arithmetic; A_log/dt_bias operand bytes follow verified checkpoint dtypes. exp(A_log) once per invocation; explicit cast interfaces are in the supplement.,30
aggregate; see repeats,linear.repeat_qk,copy,"{""repeat_factor"": 2}",0,0,{},0,524288,1048576,Logical expanded Q/K interfaces; a kernel can avoid materialization.,30
aggregate; see repeats,linear.qk_l2norm_and_query_scale,normalization,{},0,1835008,"{""rsqrt"": 4096}",0,0,0,"Squares,reduction,epsilon,normalization plus query scaling; FP32 core. Reduction convention counts KD-1 additions.",30
aggregate; see repeats,linear.gated_output_norm,normalization,"{""rows"": 2048, ""width"": 128}",0,1050624,"{""rsqrt"": 2048}",256,524288,524288,"FP32 internal arithmetic; interfaces are BF16 input/output, not internal conversion traffic.",30
aggregate; see repeats,linear.norm_z_gate,activation,{},0,524288,"{""sigmoid"": 262144}",0,0,0,SiLU(z) then multiplication with normalized values.,30
aggregate; see repeats,linear.recurrent.state_read_K,state_matrix,"{""loop_tokens"": 1, ""state"": [64, 32, 128, 128]}",67108864,0,{},0,0,0,,30
aggregate; see repeats,linear.recurrent.outer_update,state_matrix,{},67108864,0,{},0,0,0,,30
aggregate; see repeats,linear.recurrent.state_read_Q,state_matrix,{},67108864,0,{},0,0,0,,30
aggregate; see repeats,linear.recurrent.decay_delta,elementwise,{},0,34078720,"{""exp"": 2048}",0,134217728,134217728,One logical persistent-state read/write; intermediate state passes not counted as measured memory.,30
aggregate; see repeats,moe.router,linear,"{""input"": [64, 2048], ""weight_math"": [2048, 256], ""weight_storage"": [256, 2048], ""output"": [64, 256]}",67108864,0,{},1048576,262144,32768,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,40
aggregate; see repeats,moe.router_softmax_topk,router,{},0,50048,"{""exp"": 16384, ""topk_selections"": 64, ""max_comparisons"": 16320}",0,0,0,Topk algorithm comparison count unknown; FP32 probabilities and top8 renormalization.,40
aggregate; see repeats,moe.expert0.gate_up,linear,"{""input"": [2, 2048], ""weight_math"": [2048, 1024], ""weight_storage"": [1024, 2048], ""output"": [2, 1024]}",8388608,0,{},4194304,8192,4096,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,40
aggregate; see repeats,moe.expert0.down,linear,"{""input"": [2, 512], ""weight_math"": [512, 2048], ""weight_storage"": [2048, 512], ""output"": [2, 2048]}",4194304,0,{},2097152,2048,8192,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,40
aggregate; see repeats,moe.expert1.gate_up,linear,"{""input"": [2, 2048], ""weight_math"": [2048, 1024], ""weight_storage"": [1024, 2048], ""output"": [2, 1024]}",8388608,0,{},4194304,8192,4096,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,40
