run,elapsed_s,gpu_gib,rss_gib,mem_available_gib,pids
main,0.0456029309425503,0.0,0.025371551513671875,113.58511352539062,1
main,1.3311214519198984,0.0,0.6885566711425781,113.2320327758789,8
main,2.3817778350785375,0.0,0.8557662963867188,113.20107650756836,8
main,3.4229955258779228,0.0,1.3840141296386719,112.68416213989258,8
main,4.468243163079023,0.0,1.4531631469726562,112.52005767822266,8
main,5.5226074669044465,0.0,1.5693893432617188,112.43245697021484,8
main,6.5691061350516975,0.0,1.9941978454589844,112.24079513549805,13
main,7.611244658008218,0.0,2.539287567138672,111.78496551513672,13
main,8.660166573012248,0.0,2.61785888671875,111.73175048828125,13
main,9.711018451023847,0.0,2.7821578979492188,111.62945938110352,13
main,10.756877528037876,0.0,2.9263038635253906,111.39676284790039,13
main,12.134261627914384,0.0,3.311199188232422,111.37127685546875,12
main,13.176776168867946,0.0,3.4081382751464844,111.28841018676758,11
main,14.226653798948973,0.0,3.4798622131347656,111.17997360229492,11
main,15.327683395007625,0.0,3.641765594482422,110.87646865844727,11
main,16.35652096499689,0.537109375,5.6831817626953125,109.0553092956543,11
main,17.38747476087883,2.5078125,4.902008056640625,109.5216293334961,11
main,18.423612990882248,3.056640625,4.341197967529297,109.74298858642578,12
main,19.451026747003198,3.056640625,4.908599853515625,109.65905380249023,12
main,20.48659516288899,3.056640625,5.453666687011719,109.44990158081055,13
main,21.824167215963826,3.056640625,5.9434051513671875,109.24324035644531,13
main,22.85393661702983,3.056640625,6.033779144287109,109.12073135375977,13
main,23.88959002890624,3.056640625,6.12408447265625,109.05742645263672,13
main,24.922749776858836,3.056640625,6.272449493408203,108.94771194458008,13
main,25.958405144046992,3.056640625,6.484931945800781,108.68472671508789,13
main,26.993145712884143,3.056640625,6.6239471435546875,108.56855392456055,13
main,28.029427726054564,3.056640625,7.199520111083984,108.22320175170898,15
main,29.06500603398308,3.056640625,7.384586334228516,108.11753845214844,15
main,30.10108023392968,3.056640625,7.470325469970703,107.84366226196289,15
main,31.45305137289688,3.056640625,8.03558349609375,106.57120513916016,16
main,32.48901372705586,3.056640625,8.211349487304688,106.21185684204102,16
main,33.525314138038084,3.056640625,8.27682113647461,105.9965705871582,16
main,34.561464220052585,3.056640625,8.461811065673828,105.41358947753906,16
main,35.59850194887258,3.59375,8.596561431884766,105.34552383422852,16
main,36.63665187591687,4.759765625,8.931011199951172,105.26833724975586,18
main,37.67239856906235,4.810546875,9.224655151367188,105.00215148925781,16
main,38.71124471887015,7.046875,9.530643463134766,104.75565338134766,16
main,39.75099868699908,7.046875,9.648200988769531,104.73650741577148,16
main,40.79372793994844,3.84765625,10.493785858154297,104.18348693847656,18
main,42.165336733916774,7.30078125,10.978191375732422,103.68143463134766,18
main,43.207286786986515,7.02734375,11.056549072265625,103.63199996948242,18
main,44.2444966789335,7.02734375,11.357772827148438,103.3963508605957,18
main,45.28174825105816,7.02734375,11.550270080566406,102.91283416748047,18
main,46.317084189970046,7.02734375,11.642444610595703,102.54835891723633,18
main,47.35436152503826,7.02734375,11.750682830810547,102.1004524230957,18
main,48.38526858598925,4.130859375,12.136573791503906,102.07432174682617,18
main,49.42018128884956,4.26953125,12.801166534423828,101.21588516235352,18
main,50.45720602106303,7.095703125,12.928081512451172,101.0474739074707,18
main,51.72484502685256,7.095703125,12.93548583984375,101.0842399597168,18
main,52.764011807972565,12.09375,13.039924621582031,100.96660232543945,18
main,53.80169479595497,12.09375,13.114681243896484,100.67100143432617,18
main,54.83735445397906,9.4375,13.11307144165039,100.55955505371094,18
main,55.87702741287649,12.90625,13.109874725341797,100.44291305541992,18
main,56.91564778704196,10.76171875,13.11199951171875,100.45283889770508,18
main,57.95329880900681,10.771484375,13.119346618652344,100.65093994140625,18
main,58.982901578070596,10.771484375,13.121334075927734,100.55085372924805,18
