number	decision	reason
1	候选待读	Sabre 的 Firecracker 快照压缩与预取可补 12.3 的环境就绪时间；依赖特定 CPU 加速器，不能当作 E2B 默认机制。
2	备选，不新增	Nomad 的非独占 CPU 页迁移可对照 6／10 的多级存储；页影子与 GPU KV 块管理的语义不同。
3	备选，不新增	Memstrata 的 CXL 硬件分层与租户隔离可补 6／12；原型性能与特定 CPU VM 条件不可直接外推 GPU 内存池。
4	备选，不新增	MSH 用软件并发利用 CPU 内存停顿，方法可对照 5／12，当前不增加通用 CPU 调度专题。
5	备选，不新增	Atlas 比较远程内存页级与对象级访问的局部性和 CPU 代价，供 6／10 访问粒度取舍参考。
6	排除正文	Rust 所有权辅助 DSM 一致性实现，当前不扩展语言运行时与共享内存专题。
7	补读采用	已读单篇物理页 3–12，采用 token 预算及历史长度反例于 9.1、实验 9-2；保留旧模型、TBT 指标和当前实现区别。
8	候选待读	ServerlessLLM 的权重存储层次、迁移和就近启动，补 10.6／12.2；与已读 vLLM 进程启动及后续 FaaScale 比较。
9	候选待读	InfiniGen 的 KV 重要性预测与按需预取可和 HiSparse 对照 9／10；选择性读取需保留模型质量和预测开销条件。
10	补读采用	已读单篇物理页 4–11，采用迁移状态与暂停／复制时间区别于 10.6.1、实验 10-10；不把计划迁移等同于故障恢复。
11	补读采用	已读单篇物理页 4–11，采用排队、阶段放置与 KV 速率／延迟推算于 10.2、实验 10-2；保留历史 OPT、链路及实验指标边界。
12	备选，不新增	ACCL+ 的 FPGA 集合通信卸载可作 7 的硬件执行位置对照，当前不增加 FPGA MPI 实现细节。
13	备选，不新增	Beaver 面向有外部流量的分布式部分快照，因果一致性可供 11／12 对照；不能直接等同训练 checkpoint。
14	排除正文	可编程交换机的分布式锁服务，主要围绕事务系统，不扩大当前 AI 集合通信主线。
15	排除正文	拜占庭原子广播与认证批处理，超出当前训练和模型服务的故障模型。
16	候选待读	TLM 用语言模型探索 tensor schedule，可与 2025／2026 Agent 实测反馈对照 5.3，核对调优预算和支持硬件。
17	候选待读	Ladder 把低精度格式、布局和转换纳入编译，可强化 4.2.5／5.3；权重压缩不等于同倍执行加速。
18	排除正文	网络流量分类器的在线学习与标注代理，不是本书 Agent 推理或数据中心 AI 通信主线。
19	候选待读	nnScaler 用变换、放置和顺序约束并行搜索，接 6／11／13 的先推算后搜索；不把历史模型收益当当前 MoE 保证。
20	备选，不新增	ChameleonAPI 按应用决策损失定制模型，可对照 12／13 的任务成功率，当前不增加通用 API 模型训练专题。
21	排除正文	Rust typestate 验证持久内存文件系统崩溃一致性，超出当前训练 checkpoint 与环境恢复主线。
22	候选待读	ZeroNIC 将 GPU 数据通路与传输控制拆开，适合 7 的主机网络与 SmartNIC 取舍；需核对 FPGA 原型和协议处理位置。
23	排除正文	无电池间歇嵌入式 OS 的事务恢复，不扩充为本书的边缘 LLM 运行环境。
24	备选，不新增	Kairos 的数据新鲜度与实时约束可对照 8 的逐轮交互，CPS 时序保证与云推理 SLO 不同。
25	备选，不新增	鸿蒙微内核的 IPC 频次、重复状态与隔离取舍可供 12 的运行环境参考，不增加通用 OS 架构专题。
26	候选待读	PCS 将训练完成时间可预测性与公平、平均性能做取舍，适合 12.2／11.6；先读误差与调度条件。
27	候选待读	Meta Rebalancer 的资源约束表达与大规模搜索，适合 12／13 的方案生成，不把形式优化复杂度当第一步。
28	排除正文	半结构化日志压缩与查询系统，当前不扩展日志存储专题。
29	候选待读	ServiceLab 用实验设计与统计识别微小回退，可补 5.3／13 的真实反馈和测量噪声；不能把最小可检出值外推所有 GPU 实验。
30	候选待读	MAST 协同数据与训练作业的跨地域放置，可补 12.2 的资源供需和迁移条件；明确区别于第 7 章跨超节点通信。
31	备选，不新增	CFAR 的程序分析与 cache 行为估计可对照 5／13 的预测与实测，当前不增加 CPU 二进制分析教程。
32	备选，不新增	VeriSMo 研究机密 VM 安全模块验证，可供 12 区分隔离与机密计算，当前不扩展安全证明专题。
33	排除正文	eBPF verifier 的正确性测试，超出本书性能观测工具的使用范围。
34	排除正文	并发文件系统的活性与安全证明，不扩展为训练存储系统专题。
35	备选，不新增	Anvil 的控制器最终收敛可对照 12 的环境生命周期，当前不增加形式验证与 Kubernetes 控制器教程。
36	排除正文	微秒数字签名与 BFT/KV 应用，当前不扩大 AI 通信的认证协议范围。
37	排除正文	云块存储的勒索软件检测恢复，与本书模型执行和训练容错的主要问题不同。
38	排除正文	通信应用的密钥恢复与异构 enclave 信任，不进入模型服务资源取舍。
39	排除正文	按需分布式信任部署，非当前 AI 计算资源与隔离环境主线。
40	备选，不新增	FairyWREN 用缓存策略与闪存 GC 降低写放大，可供 10.5 持久化 KV 的 SSD 写入成本参考；需另验 KV 访问负载。
41	排除正文	GPU 多版本事务处理的数据库并发控制，当前不扩展 OLTP 应用。
42	备选，不新增	BurstCBS 的 DPU IO 资源计量和突发隔离可对照 7／12；生产块存储并非模型 KV 池的直接实测。
43	排除正文	分离内存中的 MVCC 事务协议，不扩大本书 KV 状态共享的语义范围。
44	排除正文	数据库等价表达式变换测试，当前保留算子正确性方法而不展开 SQL 检错。
45	排除正文	分布式协议不变量的自动证明框架，超出量化系统设计主线。
46	候选待读	加速器 performance interface 的输入依赖与可执行性能表示，适合 4／5／13 的分析模型边界；先有简单资源预算再讨论更精细表达。
47	备选，不新增	IronSpec 提醒形式规格仍可能写错，可作 13 模型可证伪性的旁证，不增加证明工具章节。
48	候选待读	bperf／BCOZ 区分在核执行和等待并分析优化因果，可补 5／12／13 的 CPU 准备与关键路径，避免仅看 CPU 利用率。
49	候选待读	dLoRA 的合并／解合并与请求、adapter 共同迁移，可补已读 Punica／SLoRA 的热度倾斜对照，避免旧版 vLLM 倍数。
50	候选待读	Parrot 暴露跨模型请求的数据依赖，适合 3／12 的 Agent 工作流调度；单请求速度与整个任务完成不同。
51	候选待读	USHER 把算子资源、模型复制和缓存干扰共同估计，适合 9／12／13，多模型共置须保留原负载及 SLO 条件。
52	候选待读	VTC 以输入和输出工作量定义 LLM 服务公平，适合 9.1／12.2；token 成本权重与连续批处理假设需核对。
53	候选待读	MonoNN 的整图 kernel 与资源不兼容问题可接 5.4，和 2026 动态 megakernel 比较；静态图前提不能套到全部服务请求。
