number	decision	reason
1	排除正文	PP-GNN 的预传播与输入管线，主要是图学习专用问题，不扩展本书模型家族。
2	排除正文	MDP 的值迭代更新策略；不是 LLM rollout 与参数更新的基础设施问题。
3	候选待读	词表与输出头造成流水阶段不均衡，可补 11.3；不能按相同层数直接认为各阶段等时。
4	候选待读	列式训练数据的 shuffle、I/O 放大与副本成本，适合 11.4；须连同打乱质量阅读。
5	候选待读	decode attention 的硬件切分与长 KV 负载，比较 FlashInfer 后再补 5、9，避免重复介绍内核。
6	候选待读	低带宽联邦预训练可检验第 7、11 章网络可行性边界；不能把至 7B 的结论外推到 1T 同步训练。
7	备选，不新增	低功耗 FPGA 数据流可作第 4 章端侧对照，当前不增加 FPGA 专题。
8	重点阅读并整合	容量与 token 吞吐之外，还要测生成长度和逐任务质量；补 9.4.4、实验 9-8。
9	重点阅读并整合	资源分配和执行方案联合改变，接回 6、11 的推算，补 12.2.1、实验 12-2 的切换成本。
10	备选，不新增	近似稀疏 attention 的质量和块选择代价；已有 V4/K3 主线，不再新增一种稀疏方法小节。
11	排除正文	大图 GNN 训练的概率切分，偏图数据专用并行。
12	排除正文	知识图谱嵌入的稀疏矩阵化，与当前 LLM 贯穿案例距离较远。
13	候选待读	RLHF 动态资源与参数重分配，比较当前 verl、R1/V4 路径；保留为历史系统，不替代新 RL 案例。
14	备选，不新增	干扰下的预测误差可补第 13 章方法；Wasm 边缘设备结果不能当作 GPU 吞吐预测精度。
15	备选，不新增	按请求选扩散模型与动态资源，作为 12.3 路由对照；不扩大图像生成背景。
16	备选，不新增	生产 vCPU 超售与风险预测，和 Agent 环境有联系，但不是 GPU 调度或 MFU 的证据。
17	候选待读	改变优化器算法来降低状态占用，需与 ZeRO 的等价状态切分分开；只作为 11.1 的取舍。
18	候选待读	多 Agent 的真假依赖及乱序执行，可补 8、12；先区分独立 Agent 与同任务有因果依赖的轮次。
19	候选待读	框架二进制依赖膨胀与冷启动，先与 2026 模型加载研究去重，再决定 5、12 落点。
20	候选待读	用另一作业填训练流水气泡，需算共用显存、干扰和中断；不是同一作业的零气泡调度。
21	备选，不新增	LoRA 的激活状态仍可能很大，支持 11.1 的容量区分，不增加激活量化算法目录。
22	候选待读	结构化梯度稀疏与通信，实验规模是 355M/2B；核对收敛、编码和迭代成本再用于 7、11。
23	重点阅读并整合	结构化输出的预处理、运行时掩码与 CPU/GPU 重叠接到 9.1；语法回滚接到 9.3，工具任务语义在 12.1 分开。历史基线不代表当前框架。
24	候选待读	可编程 attention 与融合变体的组合爆炸，切合 5.3 的编译器动机；和当前框架后端一起核对。
25	候选待读	CPU 承接 attention 计算及 KV，和 KTransformers 的 CPU 专家路径不同；补 10.3 前先算 PCIe 与 CPU 带宽。
26	备选，不新增	PDF 解析与资源扩缩可作 11.4 数据准备对照，不扩成解析框架教程。
