number	decision	reason
1	候选待读	分层 KV 的布局、加载等待与并发未命中可深化 10.5；与已有 HiCache 比较是否同一实现，性能倍数须核对正文条件。
2	候选待读	原生稀疏注意力的访问与常驻容量分离、图内缓存管理及预取可补 2／5／10；须确认具体模型，不直接套到 V4／K3。
3	候选待读	GH200／GB200 的 CPU 常驻 KV 直接访问可补 9.4／10.3；零拷贝仍有互联访问，不能外推到普通 PCIe 服务器。
4	候选待读	未缓存 prefill token 与实例负载的简单乘积适合 10.5／12 的估算方法；需要正文的假设、失效条件和真实负载验证。
5	候选待读	多模型突发下的 KV 显存回收与空间／时间复用可补 12.2；先与已有容量调度案例比较，部署规模不代替效果证据。
6	备选	按内存通道分别供给带宽与容量有助解释 10／12 的资源约束，但 VM 通用内存控制不是 KV 池，暂不展开。
7	备选	CXL 容量增加后的管理元数据瓶颈可作内存池旁证；NMP 原型与 AI 服务距离较远，不新增专节。
8	备选	内存控制器遥测的粒度与开销可补性能反馈的边界，现有实验以 GPU 热点为主，先保留不直接采用。
9	备选	页内冷热对象混合导致回收失败可解释容量与热度粒度，但主要面向通用非托管程序，不替代模型状态分析。
10	候选待读	从固定容量最小缺失率转向性能约束下可回收容量，适合与 12.2 模型共置比较；MPC 与 GPU KV 指标需明确映射。
11	排除	通用操作系统访问控制配置与兼容性不是本书 CPU 沙箱资源推算的重点，不因安全隔离术语扩大范围。
12	备选	Firefox 引擎内 SFI 可作 12.4 隔离边界的旁证，但不是 Agent 微虚拟机实例，暂不替换 E2B／Firecracker 主例。
13	排除	内存保护键驱动的逐对象取证偏通用调试与安全，未提供直接 AI 执行案例，现有 profiling 主线足够。
14	排除	Ruby 应用的数据库访问策略提取不属于模型计算、资源或运行环境主线。
15	排除	iOS 无 JIT 条件下的动态插桩与应用隐私分析偏移动安全，不补本书 AI 传输与端侧执行的关键推算。
16	候选待读	异构 MoE 层按重叠后的成本切 PP、再填路由气泡，直接补 6／11 的具体模型切分；优先核对生产与公开基线。
17	候选待读	非对称分片、分层通信与动态图切换可连接 6 的约束和 11 的异构训练；先判断是否比现有并行案例新增解释能力。
18	候选待读	将通信 chunk 与 kernel 结构分开、自动细粒度重叠可补 5.4／11.3；与已有 NanoFlow／DBO 区别及合法性待正文确认。
19	候选待读	生产预训练的评测检查点分发、加载争用和多模态 CPU 转换可补 11.4；跨数据中心场景不混入第 7 章超节点网络。
20	备选	相关噪声 DP 训练的多级内存与 NMP 有明确资源分析，但隐私训练不是本书主负载，先不引入整套算法。
21	排除	数据库查询逻辑缺陷的变形测试偏 DBMS 验证，与模型数值一致性不是同一问题。
22	备选	Clos 故障归因的证据不足处理可补 7.6 诊断边界，但生产网络 RCA 细节先不进入模型并行主线。
23	备选	短函数平坦负载下采样误差可提醒 5.3 的测量反馈不绝对可信；移动 CPU 编译器结论不直接当 GPU profiler 行为。
24	候选待读	奖励依赖限制 ToT 并行，推测探索与 token 级推测解码可分开说明；适合 3／10 的 reasoning 任务，质量与额外工作待核对。
25	备选	不透明组件的副作用控制与 Agent 工具执行相邻，可补 12.4 的恢复语义；不同于资源隔离或 VM 快照，暂不加机制细节。
26	备选	用户态抢占、核分配与两级负载均衡可补 CPU 执行池，但通用网络 runtime 不是模型请求调度，不单设篇幅。
27	备选	TCP RPC 消息化可解释 CPU 调度与队头阻塞；本书第 8／12 章优先 AI 交互实例，暂保留通用机制旁证。
28	排除	Linux 调度器确定性测试与缺陷触发偏内核验证，不能因确定性术语并入模型 batch invariance。
29	候选待读	超售 VM 的空闲可见性与尾延迟直接影响 12.4 沙箱并发；需保留 mwait 与硬件条件，不把 CPU 空闲直接当可回收容量。
30	排除	运行时修改内核性能常量及二进制安全性偏 OS 内部实现，不补本书少量关键资源约束的主线。
31	候选待读	Agent 工作流把模型、硬件和质量约束一起配置，可补 12／13 的任务成本；需核对如何守住质量及配置转换开销。
32	候选待读	生产 LLM 优化器先定位机会再验证、部署反馈，适合 5.3.5 的 Agent 优化讨论；CPU fleet 结果不能当 GPU kernel 加速。
33	候选待读	在线推理按关键同步点与异常触发追踪，可补 9／13 的尾延迟定位及 5 的低扰动 profiling；模型拟合不替代理论下界。
34	备选	应用内缓冲与队列等资源语义补充系统计数器，可用于 KV 或沙箱等待的类比；当前评估为通用程序，不另设节。
35	备选	子进程推测执行及副作用提交与 Agent 工具链相邻；不同于 token 级推测解码，暂不加入第 9 章机制清单。
36	备选	重执行中的依赖与中间结果复用可用于 12 的工具恢复旁证，但 shell 工作负载不是模型 KV 复用，暂不展开。
37	排除	隔离函数的欠约束执行与内核缺陷检测偏软件验证，不直接增加 AI 资源分析能力。
38	排除	微服务数据完整性静态检测与本书模型状态／训练概率一致性不同，不因数据流术语扩写。
39	排除	数据库无锁 ART 索引与 SGLang KV 前缀缓存不是同一层问题，不因 radix tree 名称引入。
40	备选	在一致性层实现同步可补 UB 内存语义的设计对照，但研究平台和通用锁性能不等于现有 UB 实现。
41	备选	将 Java GC 标记阶段卸载可说明 CPU 服务争用，暂不替换 Agent 沙箱／工具执行的直接案例。
42	排除	多核日志文件系统锁与元数据组织偏存储内核，现有训练 IO 案例更直接。
